Author,City,Institution,Keywords
Retha de la Harpe,Cape Town,Cape Peninsula University of Technology,"['home-based healthcare', 'informal learning', 'digital technologies', 'socio-cultural dynamics']"
Jason J. Jung,Gyeongsan,Yeungnam University,[]
Przemysław Kazienko,Wrocław,Wrocław University of Technology,[]
Qinna Wang,Lyon,Université de Lyon,"['fuzzy community detection', 'overlapping community detection', 'community detection', 'modularity', 'large-scale networks']"
Eric Fleury,Lyon,Université de Lyon,"['fuzzy community detection', 'overlapping community detection', 'community detection', 'modularity', 'large-scale networks']"
John Boaz Lee,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']"
Gerard Cabunducan,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']"
Francis George C. Cabarle,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']"
Raphael Castillo,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']"
Jasmine A. Malinao,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']"
Onur C. Sert,Ankara,TOBB Economics and Technology University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']"
Kayhan Dursun,Ankara,TOBB Economics and Technology University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']"
Tansel Özyer,Ankara,TOBB Economics and Technology University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']"
Jamal Jida,Tripoli,Lebanese University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']"
Reda Alhajj,Calgary,University of Calgary,"['multi-objective clustering', 'NSGA-II', 'h-confidence']"
Joo Young Lee,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']"
Yue Duan,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']"
Jae C. Oh,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']"
Wenliang Du,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']"
Howard Blair,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']"
Lusha Wang,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']"
Xing Jin,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']"
I-Hsing Ting,Kaohsiung,National University of Kaohsiung,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']"
Pei Shan Chang,Kaohsiung,National University of Kaohsiung,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']"
Shyue-Liang Wang,Kaohsiung,National University of Kaohsiung,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']"
Anna Zygmunt,Kraków,AGH University of Science and Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']"
Piotr Bródka,Wrocław,Wrocław University of Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']"
Przemysław Kazienko,Wrocław,Wrocław University of Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']"
Jarosław Koźlak,Kraków,AGH University of Science and Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']"
Christian Gütl,Graz,Graz University of Technology,[]
Grzegorz Chmaj,Wrocław,Wrocław University of Technology,"['computing systems', 'P2P', 'unicast', 'anycast', 'networks', 'simulation']"
Krzysztof Walkowiak,Wrocław,Wrocław University of Technology,"['computing systems', 'P2P', 'unicast', 'anycast', 'networks', 'simulation']"
Ismael Hasan,Coruña,University of a Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']"
Javier Parapar,Coruña,University of a Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']"
Álvaro Barreiro,Coruña,University of a Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']"
Jong Wook Kim,El Segundo,Teradata Corporation,"['Wikipedia', 'concept', 'semantic interpretation']"
Ashwin Kashyap,Palo Alto,Technicolor,"['Wikipedia', 'concept', 'semantic interpretation']"
Sandilya Bhamidipati,Palo Alto,Technicolor,"['Wikipedia', 'concept', 'semantic interpretation']"
Ahmed Nait-Sidi-Moh,Saint Quentin,Université de Picardie Jules Verne,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']"
Mohamed Bakhouya,Helsinki,Aalto University,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']"
Wafaa Ait-Cheik-Bihi,Strasbourg,Université de Strasbourg,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']"
Jaafar Gaber,Belfort,Université de Technologie de Belfort Montbéliard,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']"
Mabel Vazquez-Briseno,Ensenada,UABC,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']"
Pierre Vincent,Lille,MobKit,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']"
Juan Ivan Nieto-Hipolito,Ensenada,UABC,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']"
Juan de Dios Sanchez-Lopez,Ensenada,UABC,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']"
David G. Rosado,Ciudad Real,University of Castilla-La Mancha,[]
Luis Enrique Sánchez,Ciudad Real,Sicaman-NT,[]
Eduardo Fernández-Medina,Dortmund,niversity of Castilla-La Mancha,[]
Hannes Holm,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']"
Teodor Sommestad,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']"
Ulrik Franke,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']"
Mathias Ekstedt,Stockholm,Royal Institute of Technology,"['cyber security', 'remote code execution', 'software vulnerabilities']"
Ickin Vural,Pretoria,University of Pretoria,"['Botnet', 'mobile', 'malware', 'computational intelligence', 'artificial immune system']"
Hein S. Venter,Pretoria,University of Pretoria,"['Botnet', 'mobile', 'malware', 'computational intelligence', 'artificial immune system']"
Pattama Charuenporn,Bangkok,King Mongkut's Institute of Technology Ladkrabang,"['quality of service', 'ITIL', 'COBIT', 'security metrics and measurement', 'security for web service']"
