source,source_location,Content,target,target_location,Other places,Etude Notaire,Cote ADLA,Nature acte,Date,source_coordinates,source_address,target_coordinates,target_address
Cornelis Wils,,Commerce,Thymen Van Schoonhoven,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Wils et Van Schoonhoven Cie,,Finance ,Pierre Guyonneau,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Wils et Van Schoonhoven Cie,,Finance ,Pierre Guinebaud,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Pierre Guinebaud,,Commerce,Euzebe de Loynes,Orléans,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (1.9086066 47.9027336),"Orléans, 45000;45100, Centre-Val de Loire, France"
Wils et Van Schoonhoven Cie,,Finance ,Marie Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Commerce,Jean Baptiste Foucaud,Orléans,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (1.9086066 47.9027336),"Orléans, 45000;45100, Centre-Val de Loire, France"
Pierre Guyonneau,,Finance ,Pierre Guinebaud,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Pierre Guyonneau,,Finance ,Marie Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Pierre Guinebaud,,Finance ,Marie Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Mathurin Marion,,Finance ,Wils et Van Schoonhoven Cie,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Mathurin Marion,,Finance ,Pierre Guyonneau,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Mathurin Marion,,Finance ,Pierre Guinebaud,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Mathurin Marion,,Finance ,Marie Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1936,Cambie,01/02/1664,POINT (11.0480288 46.3144754),"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
