source_location,target_location
POINT (66.7780818 48.1012954),POINT (47.7872508 40.3936294)
POINT (66.7780818 48.1012954),POINT (28.5670941 47.2879608)
POINT (66.7780818 48.1012954),POINT (-83.1137366 32.3293809)
POINT (59.3924609 39.3763807),POINT (44.6736646 40.7696272)
POINT (59.3924609 39.3763807),POINT (70.8156541 38.6281733)
POINT (59.3924609 39.3763807),POINT (27.6971358 53.4250605)
POINT (59.3924609 39.3763807),POINT (97.7453061 64.6863136)
POINT (59.3924609 39.3763807),POINT (47.7872508 40.3936294)
POINT (59.3924609 39.3763807),POINT (28.5670941 47.2879608)
POINT (59.3924609 39.3763807),POINT (-83.1137366 32.3293809)
POINT (44.6736646 40.7696272),POINT (70.8156541 38.6281733)
POINT (44.6736646 40.7696272),POINT (27.6971358 53.4250605)
POINT (44.6736646 40.7696272),POINT (97.7453061 64.6863136)
POINT (44.6736646 40.7696272),POINT (47.7872508 40.3936294)
POINT (44.6736646 40.7696272),POINT (28.5670941 47.2879608)
POINT (44.6736646 40.7696272),POINT (-83.1137366 32.3293809)
POINT (70.8156541 38.6281733),POINT (27.6971358 53.4250605)
POINT (70.8156541 38.6281733),POINT (97.7453061 64.6863136)
POINT (70.8156541 38.6281733),POINT (47.7872508 40.3936294)
POINT (70.8156541 38.6281733),POINT (28.5670941 47.2879608)
POINT (70.8156541 38.6281733),POINT (-83.1137366 32.3293809)
POINT (27.6971358 53.4250605),POINT (97.7453061 64.6863136)
POINT (27.6971358 53.4250605),POINT (47.7872508 40.3936294)
POINT (27.6971358 53.4250605),POINT (28.5670941 47.2879608)
POINT (27.6971358 53.4250605),POINT (-83.1137366 32.3293809)
POINT (97.7453061 64.6863136),POINT (47.7872508 40.3936294)
POINT (97.7453061 64.6863136),POINT (28.5670941 47.2879608)
POINT (97.7453061 64.6863136),POINT (-83.1137366 32.3293809)
POINT (47.7872508 40.3936294),POINT (28.5670941 47.2879608)
POINT (47.7872508 40.3936294),POINT (-83.1137366 32.3293809)
POINT (28.5670941 47.2879608),POINT (-83.1137366 32.3293809)
POINT (-73.96727182919946 40.750214150000005),POINT (-100.445882 39.7837304)
POINT (-73.96727182919946 40.750214150000005),POINT (34.297199599416956 0.18047615)
POINT (-73.96727182919946 40.750214150000005),POINT (10.4478313 51.1638175)
POINT (-73.96727182919946 40.750214150000005),POINT (1.8883335 46.603354)
POINT (-73.96727182919946 40.750214150000005),POINT (97.7453061 64.6863136)
POINT (-73.96727182919946 40.750214150000005),POINT (-3.2765753 54.7023545)
POINT (-100.445882 39.7837304),POINT (34.297199599416956 0.18047615)
POINT (-100.445882 39.7837304),POINT (10.4478313 51.1638175)
POINT (-100.445882 39.7837304),POINT (1.8883335 46.603354)
POINT (-100.445882 39.7837304),POINT (97.7453061 64.6863136)
POINT (-100.445882 39.7837304),POINT (-3.2765753 54.7023545)
POINT (34.297199599416956 0.18047615),POINT (10.4478313 51.1638175)
POINT (34.297199599416956 0.18047615),POINT (1.8883335 46.603354)
POINT (34.297199599416956 0.18047615),POINT (97.7453061 64.6863136)
POINT (34.297199599416956 0.18047615),POINT (-3.2765753 54.7023545)
POINT (10.4478313 51.1638175),POINT (1.8883335 46.603354)
POINT (10.4478313 51.1638175),POINT (97.7453061 64.6863136)
POINT (10.4478313 51.1638175),POINT (-3.2765753 54.7023545)
POINT (1.8883335 46.603354),POINT (97.7453061 64.6863136)
POINT (1.8883335 46.603354),POINT (-3.2765753 54.7023545)
POINT (97.7453061 64.6863136),POINT (-3.2765753 54.7023545)
POINT (-73.96727182919946 40.750214150000005),POINT (34.297199599416956 0.18047615)
POINT (-73.96727182919946 40.750214150000005),POINT (10.4478313 51.1638175)
POINT (-73.96727182919946 40.750214150000005),POINT (-100.445882 39.7837304)
POINT (-73.96727182919946 40.750214150000005),POINT (-3.2765753 54.7023545)
POINT (-73.96727182919946 40.750214150000005),POINT (1.8883335 46.603354)
POINT (-73.96727182919946 40.750214150000005),POINT (97.7453061 64.6863136)
POINT (-73.96727182919946 40.750214150000005),POINT (41.2299786 43.1500226)
POINT (-73.96727182919946 40.750214150000005),POINT (-83.1137366 32.3293809)
POINT (34.297199599416956 0.18047615),POINT (10.4478313 51.1638175)
POINT (34.297199599416956 0.18047615),POINT (-100.445882 39.7837304)
POINT (34.297199599416956 0.18047615),POINT (-3.2765753 54.7023545)
POINT (34.297199599416956 0.18047615),POINT (1.8883335 46.603354)
POINT (34.297199599416956 0.18047615),POINT (97.7453061 64.6863136)
POINT (34.297199599416956 0.18047615),POINT (41.2299786 43.1500226)
POINT (34.297199599416956 0.18047615),POINT (-83.1137366 32.3293809)
POINT (10.4478313 51.1638175),POINT (-100.445882 39.7837304)
POINT (10.4478313 51.1638175),POINT (-3.2765753 54.7023545)
POINT (10.4478313 51.1638175),POINT (1.8883335 46.603354)
POINT (10.4478313 51.1638175),POINT (97.7453061 64.6863136)
POINT (10.4478313 51.1638175),POINT (41.2299786 43.1500226)
POINT (10.4478313 51.1638175),POINT (-83.1137366 32.3293809)
POINT (-100.445882 39.7837304),POINT (-3.2765753 54.7023545)
POINT (-100.445882 39.7837304),POINT (1.8883335 46.603354)
POINT (-100.445882 39.7837304),POINT (97.7453061 64.6863136)
POINT (-100.445882 39.7837304),POINT (41.2299786 43.1500226)
POINT (-100.445882 39.7837304),POINT (-83.1137366 32.3293809)
POINT (-3.2765753 54.7023545),POINT (1.8883335 46.603354)
POINT (-3.2765753 54.7023545),POINT (97.7453061 64.6863136)
POINT (-3.2765753 54.7023545),POINT (41.2299786 43.1500226)
POINT (-3.2765753 54.7023545),POINT (-83.1137366 32.3293809)
POINT (1.8883335 46.603354),POINT (97.7453061 64.6863136)
POINT (1.8883335 46.603354),POINT (41.2299786 43.1500226)
POINT (1.8883335 46.603354),POINT (-83.1137366 32.3293809)
POINT (97.7453061 64.6863136),POINT (41.2299786 43.1500226)
POINT (97.7453061 64.6863136),POINT (-83.1137366 32.3293809)
POINT (41.2299786 43.1500226),POINT (-83.1137366 32.3293809)
POINT (34.297199599416956 0.18047615),POINT (-73.96727182919946 40.750214150000005)
POINT (34.297199599416956 0.18047615),POINT (97.7453061 64.6863136)
POINT (34.297199599416956 0.18047615),POINT (10.4478313 51.1638175)
POINT (34.297199599416956 0.18047615),POINT (-100.445882 39.7837304)
POINT (34.297199599416956 0.18047615),POINT (-3.2765753 54.7023545)
POINT (34.297199599416956 0.18047615),POINT (1.8883335 46.603354)
POINT (34.297199599416956 0.18047615),POINT (-83.1137366 32.3293809)
POINT (34.297199599416956 0.18047615),POINT (41.2299786 43.1500226)
POINT (34.297199599416956 0.18047615),POINT (7.764579287532104 48.5362087)
