Author,City,Keywords,coordinates
Rafael Duque,Santander,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (-3.8099719 43.4620412)
Lars Bollen,Enschede,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (6.870595664097989 52.22336325)
Anjo Anjewierden,Enschede,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (6.870595664097989 52.22336325)
Crescencio Bravo,Ciudad Real,"['computer-supported learning environments', 'analysis of problem-solving activities', 'model-driven development', 'visual languages']",POINT (-3.9285138 38.9854201)
Jens Hellmers,Bremen,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (8.8071646 53.0758196)
Jörg Thomaschewski,Emden,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (7.2058304 53.3670541)
Eva-Maria Holt,Ratingen,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (6.8493503 51.2973261)
Thomas Wriedt,Bremen,"['usability engineering', 'user experience questionnaire UEQ', 'Kano model']",POINT (8.8071646 53.0758196)
Marija Jovic,Belgrade,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (-111.184535 45.773279)
Dusan Milutinovic,Belgrade,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (-111.184535 45.773279)
Anton Kos,Ljubljana,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (14.5069289 46.0500268)
Saso Tomazic,Ljubljana,"['online product presentation', 'e-commerce', 'multimedia presentation']",POINT (14.5069289 46.0500268)
Ester Martínez-Martín,Castellón,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']",POINT (-0.0615052108330179 40.25185675)
M. Teresa Escrig,Castellón,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']",POINT (-0.0615052108330179 40.25185675)
Angel P. del Pobil,Castellón,"['qualitative models', 'comonsense reasoning', 'spatial reasoning']",POINT (-0.0615052108330179 40.25185675)
Cao Mukun,Xiamen,"['automated negotiation', 'negotiation agent', 'multi-agent system', 'belief-desire-intention model', 'agent architecture', 'risk taking']",POINT (118.0853479 24.4801069)
Melody Y. Kiang,Long Beach,"['automated negotiation', 'negotiation agent', 'multi-agent system', 'belief-desire-intention model', 'agent architecture', 'risk taking']",POINT (-118.191604 33.7690164)
Francisco J. García-Peñalvo,Salamanca,[],POINT (-5.6640182 40.9651572)
Marc Alier Forment,Barcelona,[],POINT (2.1774322 41.3828939)
Miltiadis D. Lytras,Gerakas,[],POINT (23.8560814 38.0120455)
Jordán Pascual Espada,Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625)
Oscar Sanjuán Martínez,Madrid,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-3.7035825 40.4167047)
B. Cristina Pelayo G-Bustelo,Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625)
Juan Manuel Cueva Lovelle,Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625)
Patricia Ordóñez de Pablos,Oviedo,"['Web applications', 'Web services', 'Web browser', 'Mobile devices', 'smartphone']",POINT (-5.8483581 43.3618625)
